id,type,character
p1,fille,grosse
p2,mec,chinois
p3,mec,roux
p4,fille,roux
p5,mec,gay
p6,mec,beau
p7,fille,"jeune, blond, raid, beau"
p8,fille,"jeune, brun, bouclé"
p9,fille,cassé
p10,fille,"petit, bouclé"
p11,mec,mini
p12,fille,"princesse, blond, bouclé, long"
p15,mec,"asiatique, vieux"
p18,mec,noir
p19,mec,"gros, jeune"
p20,mec,"bouclé, brun"
p21,mec,"immense,deguisement,gay":w
p23,mec,barbe
p24,squelette,noir
p25,squelette,blanc
p26,fille,metisse
p27,fille,morte
p28,fille,petite
p29,mec,"grand, gros, barbe"
